id,gitname,model_architecture,preds_dataset,run_message,abs_rel,rmse,ppd,abs_rel_std_err,rmse_std_err,ppd_std_err
28,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,test4_edge_loss_hypersim,0.3473378450773268,5.182917901092749,1528.783392669321,0.056505035057098,1.873737791603841,641.9444362386623
29,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,test4_edge_loss_hypersim,0.3035826089201335,3.451570608045791,800.491389841381,0.0289507324663047,0.8269520867596007,248.6174144926803
30,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,hypersim_processed/test,test4_edge_loss_unidepth_hypersim,0.2631210661603139,2.141839875761644,308.05481730753394,0.042393980935595,0.4424728922174811,68.20748774463291
31,Andrew Healey,zoedepth,hypersim_processed/test,test4_zoedepth_hypersim,0.3128120361576523,3.483489128892648,856.475239257823,0.0286500192779402,0.8232973167536869,258.7036635537393
32,Andrew Healey,unidepth,hypersim_processed/test,test4_unidepth_hypersim,0.2688061549557984,2.1700992810636373,302.7565899142927,0.0414043546750848,0.4158828860458691,60.22124319957102
33,Andrew Healey,patchrefiner,hypersim_processed/test,test4_patchrefiner_hypersim,0.3114286965484745,3.412060256144623,469.3241560838009,0.0271970003286132,0.6822647751676767,128.01928646108163
34,Andrew Healey,pixelperfectdepth,hypersim_processed/test,test4_ppd_hypersim,0.2593204051011639,2.1408015369021283,336.0564520213801,0.0420788383208896,0.4408355523715649,67.7098174528817
35,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,test4_edge_loss_hypersim,0.3035826089201335,3.451570608045791,800.491389841381,0.0289507324663047,0.8269520867596007,248.6174144926803
36,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,hypersim_processed/test,test4_edge_loss_unidepth_hypersim,0.2631210661603139,2.141839875761644,308.05481730753394,0.042393980935595,0.4424728922174811,68.20748774463291
37,Andrew Healey,zoedepth,hypersim_processed/test,test4_zoedepth_hypersim,0.3128120361576523,3.483489128892648,856.475239257823,0.0286500192779402,0.8232973167536869,258.7036635537393
